"entity_type","risk_type","risk_level","risk_desc","risk_desc_info","info"
"实体","is_san","中风险","公司涉制裁名单风险情况","在道琼斯中的风险判定为：中风险","公司存在制裁名单风险，需要关注相关风险信息"
"实体","is_san","无法判断","公司涉制裁名单风险情况","未提供制裁信息，无法判断风险情况","未提供制裁信息，无法判断风险情况"
"实体","is_sco","无法判断","公司受制裁关联风险情况","未提供制裁关联信息，无法判断风险情况","未提供制裁关联信息，无法判断风险情况"
"实体","is_ool","高风险","公司涉其他官方名单风险情况","在道琼斯中的风险判定为：OOL","公司在其他官方名单中，下方表格详细记录了道琼斯中公司当前涉其他官方名单记录"
"实体","is_ool","无法判断","公司涉其他官方名单风险情况","未提供其他官方名单信息，无法判断风险情况","未提供其他官方名单信息，无法判断风险情况"
"实体","is_one_year","高风险","公司成立时间风险情况","在道琼斯中的风险判定为：高风险","公司成立时间存在风险，需要关注相关风险信息"
"实体","is_sanctioned_countries","高风险","公司注册地风险情况","在道琼斯中的风险判定为：高风险","公司注册地存在高风险，需要关注相关风险信息"
"实体","is_san","无风险","公司涉制裁名单风险情况","公司不在制裁名单中","公司不在制裁名单中"
"实体","is_san","高风险","公司涉制裁名单风险情况","在道琼斯中的风险判定为：SAN","公司在制裁名单中，下方表格详细记录了道琼斯中公司当前涉制裁名单记录"
"实体","is_sco","无风险","公司受制裁关联风险情况","公司不属于制裁关联方","公司不属于制裁关联方"
"实体","is_sco","中风险","公司受制裁关联风险情况","在道琼斯中的风险判定为：SCO","公司属于制裁关联方，下方表格详细记录了道琼斯中公司的制裁实体类型"
"实体","is_sco","高风险","公司受制裁关联风险情况","在道琼斯中的风险判定为：SCO","公司属于制裁关联方，下方表格详细记录了道琼斯中公司的制裁实体类型"
"实体","is_ool","无风险","公司涉其他官方名单风险情况","公司不在其他官方名单中","公司不在其他官方名单中"
"实体","is_ool","中风险","公司涉其他官方名单风险情况","在道琼斯中的风险判定为：OOL","公司在其他官方名单中，下方表格详细记录了道琼斯中公司当前涉其他官方名单记录"
"实体","is_one_year","无法判断","公司成立时间风险情况","未提供公司注册日期，无法判断风险情况","未提供公司注册日期，无法判断风险情况"
"实体","is_sanctioned_countries","无风险","公司注册地风险情况","公司注册地不在避税及高风险地区","公司注册地不在避税及高风险地区"
"实体","is_sanctioned_countries","无法判断","公司注册地风险情况","未提供公司注册地信息，无法判断风险情况","未提供公司注册地信息，无法判断风险情况"
"实体","is_sanctioned_countries","中风险","公司注册地风险情况","在道琼斯中的风险判定为：中风险","公司注册地在避税及高风险地区"
"船舶","dark_sts","无风险","隐蔽STS事件风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无隐蔽STS事件情况"
"船舶","dark_sts","中风险","隐蔽STS事件风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有隐蔽STS事件情况，下方表格详细记录劳氏中目标船舶的隐蔽STS事件记录"
"船舶","dark_sts","高风险","隐蔽STS事件风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有隐蔽STS事件情况，下方表格详细记录劳氏中目标船舶的隐蔽STS事件记录"
"船舶","has_ais_gap_risk","无风险","AIS信号缺失风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无AIS信号缺失情况"
"船舶","has_ais_gap_risk","中风险","AIS信号缺失风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了开普勒中目标船舶的AIS信号缺失记录"
"船舶","has_ais_gap_risk","高风险","AIS信号缺失风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了开普勒中目标船舶的AIS信号缺失记录"
"船舶","has_dark_sts_risk","无风险","隐蔽STS事件风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无隐蔽STS事件情况"
"船舶","has_dark_sts_risk","中风险","隐蔽STS事件风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内有隐蔽STS事件情况，下方表格详细记录了开普勒中目标船舶的隐蔽STS事件记录"
"船舶","has_dark_sts_risk","高风险","隐蔽STS事件风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内有隐蔽STS事件情况，下方表格详细记录了开普勒中目标船舶的隐蔽STS事件记录"
"实体,is_one_year","中风险","公司成立时间风险情况","公司成立时间未满1年，属于新成立的公司","在道琼斯中的风险判定为：中风险"
"实体,is_one_year","无风险","公司成立时间风险情况","公司成立时间超1年，不属于新成立的公司","公司成立时间超1年，不属于新成立的公司"
"船舶","has_port_calls_risk","无风险","挂靠高风险港口风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无挂靠高风险港口情况"
"船舶","has_port_calls_risk","中风险","挂靠高风险港口风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内挂靠过高风险港口，下方表格详细记录了开普勒中目标船舶挂靠高风险港口记录"
"船舶","has_port_calls_risk","高风险","挂靠高风险港口风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内挂靠过高风险港口，下方表格详细记录了开普勒中目标船舶挂靠高风险港口记录"
"船舶","has_sanctioned_cargo_risk","无风险","船舶涉及受制裁货物风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内未涉及受制裁货物"
"船舶","has_sanctioned_cargo_risk","中风险","船舶涉及受制裁货物风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内运输过受制裁货物，下方表格详细记录了开普勒中目标船舶运输的受制裁货物记录"
"船舶","has_sanctioned_cargo_risk","高风险","船舶涉及受制裁货物风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内运输过受制裁货物，下方表格详细记录了开普勒中目标船舶运输的受制裁货物记录"
"船舶","has_sanctioned_companies_risk","无风险","船舶公司制裁信息（开普勒）","在开普勒中的风险判定为：No risks","船舶公司制裁信息"
"船舶","has_sanctioned_companies_risk","中风险","船舶公司制裁信息（开普勒）","在开普勒中的风险判定为：Risks detected","船舶公司制裁信息"
"船舶","has_sanctioned_companies_risk","高风险","船舶公司制裁信息（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶公司制裁信息"
"船舶","has_sanctioned_trades_risk","无风险","船舶涉及受制裁贸易风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内未涉及受制裁贸易"
"船舶","has_sanctioned_trades_risk","中风险","船舶涉及受制裁贸易风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内运输过受制裁贸易，下方表格详细记录了开普勒中目标船舶运输的受制裁货物记录"
"船舶","has_sanctioned_trades_risk","高风险","船舶涉及受制裁贸易风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内运输过受制裁贸易，下方表格详细记录了开普勒中目标船舶运输的受制裁货物记录"
"船舶","has_sts_events_risk","无风险","STS转运不合规风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无STS转运不合规情况"
"船舶","has_sts_events_risk","中风险","STS转运不合规风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内有STS转运不合规情况，下方表格详细记录了开普勒中目标船舶的STS转运不合规记录"
"船舶","has_sts_events_risk","高风险","STS转运不合规风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内有STS转运不合规情况，下方表格详细记录了开普勒中目标船舶的STS转运不合规记录"
"船舶","high_risk_port","无风险","挂靠高风险港口风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无挂靠高风险港口情况"
"船舶","high_risk_port","中风险","挂靠高风险港口风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内挂靠过高风险港口，下方表格详细记录了劳氏中目标船舶挂靠高风险港口情况"
"船舶","high_risk_port","高风险","挂靠高风险港口风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内挂靠过高风险港口，下方表格详细记录了劳氏中目标船舶挂靠高风险港口情况"
"船舶","lloyds_compliance","无风险","船舶公司制裁信息（劳氏）","在劳氏中的风险判定为：Low risk","船舶公司不在制裁名单中"
"船舶","lloyds_compliance","中风险","船舶公司制裁信息（劳氏）","在劳氏中的风险判定为：Medium risk","船舶公司制裁信息，下方表格详细记录了劳氏中目标船舶相关公司当前受制裁记录"
"船舶","lloyds_compliance","高风险","船舶公司制裁信息（劳氏）","在劳氏中的风险判定为：High risk","船舶公司制裁信息，下方表格详细记录了劳氏中目标船舶相关公司当前受制裁记录"
"船舶","lloyds_sanctions","无风险","船舶涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶不在制裁名单中"
"船舶","lloyds_sanctions","中风险","船舶涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶在制裁名单中，下方表格详细记录了劳氏中目标船舶当前受制裁记录"
"船舶","lloyds_sanctions","高风险","船舶涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶在制裁名单中，下方表格详细记录了劳氏中目标船舶当前受制裁记录"
"船舶","lloyds_sanctions_his","无风险","船舶历史涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史不在制裁名单中"
"船舶","lloyds_sanctions_his","中风险","船舶历史涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史在制裁名单中下方表格详细记录了劳氏中目标船舶当前受制裁记录"
"船舶","lloyds_sanctions_his","高风险","船舶历史涉制裁名单风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史在制裁名单中下方表格详细记录了劳氏中目标船舶当前受制裁记录"
"船舶","loitering_behavior","无风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无可疑徘徊行为"
"船舶","loitering_behavior","中风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有可疑徘徊行为，下方表格详细记录了劳氏中目标船舶可疑徘徊行为情况"
"船舶","loitering_behavior","高风险","可疑徘徊行为风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有可疑徘徊行为，下方表格详细记录了劳氏中目标船舶可疑徘徊行为情况"
"船舶","possible_dark_port","无风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无暗港访问情况"
"船舶","possible_dark_port","中风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有暗港访问情况，下方表格详细记录了劳氏中目标船舶暗港访问情况"
"船舶","possible_dark_port","高风险","暗港访问风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有暗港访问情况，下方表格详细记录了劳氏中目标船舶暗港访问情况"
"船舶","sanctioned_sts","无风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无STS转运不合规情况"
"船舶","sanctioned_sts","中风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有STS转运不合规情况，下方表格详细记录了劳氏中目标船舶STS转运不合规情况"
"船舶","sanctioned_sts","高风险","STS转运不合规风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有STS转运不合规情况，下方表格详细记录了劳氏中目标船舶STS转运不合规情况"
"船舶","suspicious_ais_gap","无风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无AIS信号缺失情况"
"船舶","suspicious_ais_gap","中风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了劳氏中目标船舶的AIS信号缺失情况"
"船舶","suspicious_ais_gap","高风险","AIS信号缺失风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有AIS信号缺失情况，下方表格详细记录了劳氏中目标船舶的AIS信号缺失情况"
"船舶","uani_check","无风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：无风险","船舶当前不在UANI清单中"
"船舶","uani_check","中风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：中风险","船舶在UANI清单中，下方表格详细记录了目标船舶被添加至UANI清单的日期、船旗国等关键信息"
"船舶","uani_check","高风险","船舶涉UANI清单风险情况","在UANI中的风险判定为：高风险","船舶在UANI清单中，下方表格详细记录了目标船舶被添加至UANI清单的日期、船旗国等关键信息"
"船舶","ais_manipulation","无风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：Low risk","船舶历史一年内无AIS信号伪造和操纵情况"
"船舶","ais_manipulation","中风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：Medium risk","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了劳氏中目标船舶的AIS信号伪造及篡改记录"
"船舶","ais_manipulation","高风险","AIS信号伪造及篡改风险情况（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了劳氏中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","中风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了开普勒中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","高风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内有AIS信号伪造和操纵情况，下方表格详细记录了开普勒中目标船舶的AIS信号伪造及篡改记录"
"船舶","has_ais_spoofs_risk","无风险","AIS信号伪造及篡改风险情况（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内无AIS信号伪造和操纵情况"
"船舶","lloydsRiskLevel","高风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：High risk","船舶历史一年内被制裁"
"船舶","lloydsRiskLevel","中风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：Medium detected","船舶历史一年内被制裁"
"船舶","lloydsRiskLevel","无风险","船舶制裁合规结果（劳氏）","在劳氏中的风险判定为：LOW risk","船舶历史一年内未被制裁"
"船舶","kplerRiskLevel","无风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：No risks","船舶历史一年内未被制裁"
"船舶","kplerRiskLevel","中风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：Risks detected","船舶历史一年内被制裁"
"船舶","kplerRiskLevel","高风险","船舶制裁合规结果（开普勒）","在开普勒中的风险判定为：Sanctioned","船舶历史一年内被制裁"
"货物","cargo_country","无风险","货物原产地是否来源于高风险国家","货物原产地判定为：无风险","货物原产地国家未被制裁"
"货物","cargo_country","高风险","货物原产地是否来源于高风险国家","货物原产地判定为：高风险","货物原产地为制裁国家"
"港口","port_country","无风险","港口是否来源于高风险国家","港口所在国家判定为：无风险","港口所在国家未被制裁"
"港口","port_country","高风险","港口是否来源于高风险国家","港口所在国家判定为：高风险","港口所在国家为制裁国家"
